Category,Subcategory,Specialty_Keywords,Medicare_Code,Taxonomy_Code,Full_Description
Physicians - Surgery,General Surgery,"general surgery, surgical, surgeon",02,208600000X,"Surgery - General"
Physicians - Surgery,General Surgery,"hospice, palliative, surgery",02,2086H0002X,"Surgery - Hospice and Palliative Medicine"
Physicians - Surgery,Pediatric Surgery,"pediatric surgery, children, surgical",02,2086S0120X,"Surgery - Pediatric"
Physicians - Surgery,Plastic Surgery,"plastic surgery, reconstructive",02,2086S0122X,"Surgery - Plastic and Reconstructive"
Physicians - Surgery,Hand Surgery,"hand surgery, hand surgeon",02,2086S0105X,"Surgery - Hand"
Physicians - Surgery,Critical Care Surgery,"surgical critical care, trauma, intensive",02,2086S0102X,"Surgery - Surgical Critical Care"
Physicians - Surgery,Oncology Surgery,"surgical oncology, cancer surgery",02,2086X0206X,"Surgery - Surgical Oncology"
Physicians - Surgery,Trauma Surgery,"trauma surgery, emergency surgery",02,2086S0127X,"Surgery - Trauma"
Physicians - Surgery,Vascular Surgery,"vascular surgery, blood vessels",02,2086S0129X,"Surgery - Vascular"
Physicians - Surgery,Thoracic Surgery,"thoracic, cardiothoracic, chest surgery, heart surgery",02,208G00000X,"Surgery - Thoracic/Cardiothoracic"
Physicians - Surgery,Transplant Surgery,"transplant surgery, organ transplant",02,204F00000X,"Surgery - Transplant"
Physicians - Surgery,Colorectal Surgery,"colorectal, colon, rectal, proctology",02,208C00000X,"Surgery - Colon & Rectal"
Physicians - Surgery,Neurological Surgery,"neurological surgery, neurosurgery, brain surgery, spine surgery",02,207T00000X,"Surgery - Neurological"
Physicians - Surgery,Oral Surgery,"oral surgery, maxillofacial, jaw surgery, mouth surgery",02,204E00000X,"Surgery - Oral & Maxillofacial"
Physicians - Surgery,Orthopedic Surgery,"orthopedic, orthopedics, bone, joint",02,207X00000X,"Surgery - Orthopedic"
Physicians - Surgery,Orthopedic Reconstructive,"orthopedic reconstructive, joint replacement",02,207XS0114X,"Surgery - Orthopedic Reconstructive"
